conference_name,acronym,category,sub_category,start_date,end_date,city,country,format,overview,call_for_papers,cfp_deadline,fees_and_pricing,program_agenda,keynote_speakers,technical_committee,sponsors,venue,accommodation,organizer,website_or_source,record_status,data_quality_notes
"2027 7th International Conference on Computer, Control and Robotics",ICCCR 2027,Technology & Engineering,"Computer, Control & Robotics",2027-05-14,2027-05-16,Chengdu,China,In-person,"International conference focused on computer, control & robotics.",Call for papers / abstract submissions published.,2027-01-01,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Sponsored by Southwest Jiaotong University.,"Chengdu, China",Not yet announced as of 10 Sep 2026,Southwest Jiaotong University / ICCCR Organizing Committee,https://www.iconf.com/conference/ICCCR2027_9696,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
7th International Conference on Materials Physics and Chemistry,ICMPC 2027,Science & Engineering,Materials Science,2027-01-08,2027-01-10,Sanya,China,In-person,International conference on materials physics and chemistry.,"Submission deadline listed Dec 23, 2026.",2026-12-23,Not yet announced as of 10 Sep 2026,Scientific paper sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Sanya, China",Not yet announced as of 10 Sep 2026,Academic Communications / organizers,https://conferencesked.com/conferences/conferences-2027,Discovery verified,Date/deadline from index.
2026 7th International Conference on Natural Language Processing and Artificial Intelligence,NLPAI 2026,Technology,NLP & Artificial Intelligence,2026-07-10,2026-07-13,Urumqi,China,In-person,International conference focused on nlp & artificial intelligence.,Call for papers / abstract submissions published.,2026-01-25,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Urumqi, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 7th International Conference on Software Engineering and Artificial Intelligence,SEAI 2027,Technology,Software Engineering / AI,2027-06-18,2027-06-20,Quanzhou,China,In-person,Academic conference combining software engineering and artificial intelligence.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical paper sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Quanzhou, China",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 8th Asia Conference on Renewable Energy and Environmental Engineering,AREEE 2027,Energy & Sustainability,Renewable Energy & Environment,2027-04-07,2027-04-10,Singapore,Singapore,In-person,International conference focused on renewable energy & environment.,Call for papers / abstract submissions published.,2026-11-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Singapore, Singapore",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Energy+and+Resources,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 8th Blockchain and Internet of Things Conference,BIOTC 2026,Technology,Blockchain & IoT,2026-07-08,2026-07-10,Tokyo,Japan,In-person,International conference focused on blockchain & iot.,Call for papers / abstract submissions published.,2026-01-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Tokyo, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 8th International Conference on Circuits and Systems,ICCS 2026,Engineering,Circuits & Systems,2026-09-18,2026-09-21,Hangzhou,China,In-person,International conference focused on circuits & systems.,Call for papers / abstract submissions published.,2026-05-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Hangzhou, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Communication+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 8th International Conference on Computer Communication and the Internet,ICCCI 2026,Technology,Computer Communication & Internet,2026-06-26,2026-06-28,Okayama,Japan,In-person,International conference focused on computer communication & internet.,Call for papers / abstract submissions published.,2026-02-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Okayama, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 8th International Conference on Computer Vision and Information Technology,CVIT 2027,Technology,Computer Vision / IT,2027-06-16,2027-06-18,Rome,Italy,In-person,International conference on computer vision and information technology.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical papers and presentations.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Rome, Italy",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 8th International Conference on Education Development and Studies,ICEDS 2027,Education,Education Development & Studies,2027-04-15,2027-04-17,Glasgow,United Kingdom,In-person,"International peer-reviewed conference on education, technology and society; 2027 theme: Reimagining Education for an Inclusive, Sustainable, and Digital Future.",Call for papers / abstract submissions published.,2026-10-15,Not yet announced as of 10 Sep 2026,"15 Apr: sign-in; 16 Apr: opening remarks, keynote speech and session presentations; 17 Apr: city visit.",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Organized by University of Glasgow; supported by University of Hull.,"University of Glasgow, Gilmorehill Campus, Glasgow G12 8QQ, Scotland",Not yet announced as of 10 Sep 2026,University of Glasgow,https://www.iconf.com/conference/ICEDS2027_9844,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 8th International Conference on Information Technology and Computer Communications,ITCC 2026,Technology,IT & Computer Communications,2026-08-21,2026-08-23,Tokyo,Japan,In-person,International conference focused on it & computer communications.,Call for papers / abstract submissions published.,2026-03-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Tokyo, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Communication+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 8th International Conference on Information Technology and Education Technology,ITET 2027,Education & Technology,Education Technology,2027-05-28,2027-05-30,Okayama,Japan,In-person,International conference focused on education technology.,Call for papers / abstract submissions published.,2026-12-15,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Okayama, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?confDateEnd=&confDateStart=&confName=&contient=&country=&tags=Education,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 8th International Conference on Progress in Mechanical and Aerospace Engineering,PMAE 2026,Engineering,Mechanical & Aerospace Engineering,2026-12-18,2026-12-20,Singapore,Singapore,In-person,International conference focused on mechanical & aerospace engineering.,Call for papers / abstract submissions published.,2026-08-01,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Singapore, Singapore",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 9th International Conference on Advanced Mechanical and Electrical Engineering,AMEE 2027,Engineering,Mechanical & Electrical Engineering,2027-05-21,2027-05-23,Haikou,China,In-person,International conference focused on mechanical & electrical engineering.,Call for papers / abstract submissions published.,2026-12-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Haikou, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 9th International Conference on Clean Energy and Electrical Systems,CEES 2027,Energy & Engineering,Clean Energy / Electrical,2027-04-28,2027-04-30,Osaka,Japan,In-person,Academic conference on clean energy and electrical systems.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical paper sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Osaka, Japan",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2026 9th International Conference on Computational Intelligence and Intelligent Systems,CIIS 2026,Technology,Computational Intelligence,2026-10-26,2026-10-28,Osaka,Japan,In-person,International conference focused on computational intelligence.,Call for papers / abstract submissions published.,2026-06-05,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Osaka, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=artificial+intelligence,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 9th International Conference on Computer and Communication Engineering Technology,CCET 2026,Technology,Computer & Communication Engineering,2026-08-14,2026-08-16,Taiyuan,China,In-person,International conference focused on computer & communication engineering.,Call for papers / abstract submissions published.,2026-03-25,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Taiyuan, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Communication+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 9th International Conference on Computer Communication and the Internet,ICCCI 2027,Technology,Communications / Internet,2027-06-25,2027-06-27,Tokyo,Japan,In-person,International conference on computer communication and internet technologies.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical paper sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Tokyo, Japan",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 9th International Conference on Computer Science and Technologies in Education,CSTE 2027,Education & Technology,Computer Science in Education,2027-04-09,2027-04-11,Wuhan,China,In-person,International conference focused on computer science in education.,Call for papers / abstract submissions published.,2026-11-05,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Wuhan, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?confDateEnd=&confDateStart=&confName=&contient=&country=&tags=Education,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 9th International Conference on Environment and Ocean Engineering,ICEOE 2026,Environment,Ocean & Environmental Engineering,2026-11-27,2026-11-29,Ho Chi Minh City,Vietnam,In-person,International conference focused on ocean & environmental engineering.,Call for papers / abstract submissions published.,2026-09-30,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Ho Chi Minh City, Vietnam",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Energy+and+Resources,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 9th International Conference on Healthcare Service Management,ICHSM 2026,Health & Management,Healthcare Management,2026-09-24,,Isparta,Türkiye,In-person,International conference on healthcare service management.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Research and management sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Isparta, Türkiye",Not yet announced as of 10 Sep 2026,Conference organizers,https://worldconferencecalendar.com/,Discovery index,Start date/city/category confirmed by index.
2026 9th International Conference on Information Communication and Signal Processing,ICICSP 2026,Technology,Signal Processing & Communications,2026-09-18,2026-09-20,Shanghai,China,In-person,International conference focused on signal processing & communications.,Call for papers / abstract submissions published.,2026-03-25,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Shanghai, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Communication+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 9th International Conference on Mechanical Manufacturing and Industrial Engineering,MMIE 2026,Engineering,Manufacturing & Industrial Engineering,2026-08-19,2026-08-22,Kyoto,Japan,In-person,International conference focused on manufacturing & industrial engineering.,Call for papers / abstract submissions published.,2026-07-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Kyoto, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
"2026 9th International Conference on Mechanical, System and Control Engineering",ICMSC 2026,Engineering,Mechanical Systems & Control,2026-11-22,2026-11-24,Toyama,Japan,In-person,International conference focused on mechanical systems & control.,Call for papers / abstract submissions published.,2026-07-05,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Toyama, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 9th International Conference on Robotic Systems and Applications,ICRSA 2026,Technology,Robotic Systems,2026-10-30,2026-11-01,Huizhou,China,In-person,International conference focused on robotic systems.,Call for papers / abstract submissions published.,2026-06-05,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Huizhou, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=artificial+intelligence,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
AAAI-27: 41st Annual AAAI Conference on Artificial Intelligence,AAAI-27,Technology,Artificial Intelligence,2027-02-16,2027-02-23,Montréal,Canada,In-person,"The 41st AAAI Conference on Artificial Intelligence; an in-person research conference spanning the full breadth of AI, with technical papers, special tracks, invited speakers, workshops, tutorials, posters, competitions, exhibits, Bridge Program and Lab Program.",Main Technical Track: OpenReview author registration opened 17 Jun 2026; abstract deadline 21 Jul 2026; full-paper deadline 28 Jul 2026; supplementary material/code deadline 31 Jul 2026.,2026-07-28,Not yet announced as of 10 Sep 2026,Technical paper presentations; special tracks; invited speakers; workshops; tutorials; poster sessions; senior-member presentations; competitions; exhibition program; Bridge Program; Lab Program.,Not yet announced as of 10 Sep 2026,"AAAI Conference Committee Chair: Kevin Leyton-Brown; General Chair: Edith Elkind; Program Co-Chairs: Yan Liu, Balaraman Ravindran; Associate Program Chairs: Joydeep Biswas, Bistra Dilkina, Minlie Huang, Richa Singh, Pradeep Varakantham; AI Alignment Chairs: Dylan Hadfield-Menell, Mitchell Gordon; AI for Social Impact Chairs: Bryan Wilder, Andrew Perrault; Demonstration Chairs: Sarah Keren, Sarath Sreedharan; Doctoral Consortium Co-Chairs: Wei Liu, Yue Zhao; Ethics Chair: Matthew Gombolay; Senior Members Track Chairs: Siddharth Srivastava, Noa Agmon.",Not yet announced as of 10 Sep 2026,"Montréal, Canada; specific conference facility not yet announced on the official AAAI-27 page.",Official AAAI-27 accommodations and travel program is provided through the AAAI attendee pages; named hotel block not yet announced.,Association for the Advancement of Artificial Intelligence (AAAI),https://aaai.org/conference/aaai/aaai-27/ ; https://aaai.org/conference/aaai/aaai-27/organizers/,OFFICIAL VERIFIED,Official AAAI sources checked; unpublished fields explicitly marked.
ACC.27 Together With WCC,ACC.27-WCC,Health & Medicine,Cardiology,2027-04-10,2027-04-12,Houston,United States,In-person,Joint American College of Cardiology / World Heart Federation scientific meeting for global cardiovascular professionals.,Abstract and clinical-case submissions open 25 Aug 2026 and close 6 Oct 2026.,2026-10-06,Not yet announced as of 10 Sep 2026,"Pre-conference sessions: Fri 9 Apr 2027, 10:00 AM–6:00 PM CT. Main meeting opens Sat 10 Apr at 8:30 AM CT with Opening Showcase and concludes Mon 12 Apr at 5:30 PM CT after Closing Ceremony, Convocation & Reception; scientific sessions, late-breaking research, guideline and innovation programming.",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Houston, Texas, USA; exact convention facility not yet published on the official registration page.",Official registration/housing providers: Maritz Global Events and International Group Housing (ABTS Convention Services). Hotel inventory/rates not yet published.,American College of Cardiology (ACC) and World Heart Federation (WHF),https://accscientificsession.acc.org/Registration-and-Hotels,OFFICIAL VERIFIED,"Dates and registration windows are official. Actual attendee prices, speakers and sponsor roster not yet published."
African Stroke Organization Conference 2026,ASOC 2026,Health & Medicine,Stroke / Neurology,,,Addis Ababa,Ethiopia,In-person,Regional/global stroke conference listed for November 2026.,Not yet announced as of 10 Sep 2026,,Not captured.,Program not captured.,Not captured.,Not captured.,Not captured.,"Addis Ababa, Ethiopia",Not captured.,African Stroke Organization,https://impactconvene.com/conferences/,Discovery index,Month/year known; exact dates/details require enrichment.
African Studies Association Annual Meeting 2027,ASA 2027,Social Sciences,African Studies,2027-12-09,2027-12-11,Detroit,United States,In-person,Annual meeting for African studies scholars and professionals.,CFP expected via ASA.,,Pricing pending.,"Panels, papers, roundtables and scholarly networking.",To be announced.,ASA program committee.,Sponsors/exhibitors pending.,"Detroit, Michigan",TBD,African Studies Association,https://uia.org/icco/search/%24freesearch%3DTorun?freesearch=&page=53,Discovery verified,Dates/city from UIA international congress calendar.
AGU26 Annual Meeting,AGU26,Science,Earth & Space Sciences,2026-12-07,2026-12-11,San Francisco,United States,In-person + online,"AGU's annual meeting, the largest gathering of Earth and space scientists, convening 25,000+ attendees from 100+ countries.",Main abstract cycle completed; late-breaking abstract submission deadline 29 Sep 2026.,2026-09-29,Registration is open with early-rate pricing; category-by-category rates are published in the AGU registration portal but were not exposed in the public source extract used for this dataset.,Thousands of research presentations; workshops; panel discussions; hands-on learning; mentoring; career programming; networking; exhibits. Scientific program goes live in early October 2026.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Moscone Center, 747 Howard St, San Francisco, CA 94103, USA",Official AGU housing block is open with discounted hotel rates; specific hotel/rate inventory varies in the booking portal.,American Geophysical Union (AGU),https://www.agu.org/agu26,OFFICIAL VERIFIED,Official AGU source checked; program/speaker/sponsor details still evolving.
AGU27 Annual Meeting,AGU27,Science,Earth & Space Sciences,2027-12-13,2027-12-17,"Washington, D.C.",United States,In-person + online,"AGU annual meeting for the global Earth and space science community, with thousands of presentations, workshops and networking opportunities.","Session, scientific-workshop and town-hall proposals open Mar 2027 and close Apr 2027. Abstract submissions open Jun 2027 and close Aug 2027.",2027-08,Not yet announced as of 10 Sep 2026,"Thousands of research presentations, workshops and networking opportunities; detailed 2027 program not yet announced.",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Walter E. Washington Convention Center, 801 Allen Y. Lew Place NW, Washington, D.C., USA; online participation also planned.",Official registration and housing opens Aug 2027; hotel names/rates not yet announced.,American Geophysical Union (AGU),https://www.agu.org/meetings/all-meetings/agu27,OFFICIAL VERIFIED,Official AGU27 page checked.
2027 ASCO Annual Meeting,ASCO27,Health & Medicine,Oncology,2027-06-04,2027-06-08,Chicago,United States,In-person + digital access,"ASCO's global oncology annual meeting, featuring more than 200 sessions and thousands of research presentations.",Abstract submission opens 4 Nov 2026; regular abstract deadline 26 Jan 2027; late-breaking abstract deadline 8 Mar 2027.,2027-01-26,Not yet announced as of 10 Sep 2026,"Plenary Session; Opening Session; ASCO Voices; 22 Oral Abstract Sessions; 25 Rapid Oral Abstract Sessions; Clinical Science Symposia; 12+ Case-Based Panels; Joint Sessions with AACR, ASPO and ESMO; 2,800+ posters including Trials in Progress. Full 2027 program scheduled for release mid-November 2026.","Elizabeth Mittendorf, MD, PhD — ASCO President; Presidential theme: “Intentional Teams. Exceptional Care.” Other 2027 plenary/award speakers not yet announced.",Not yet announced as of 10 Sep 2026,"2026 sponsorship donors currently shown on the 2027 ASCO pages: Platinum — Daiichi Sankyo, Genentech, Johnson & Johnson, Novartis; Gold — Bristol Myers Squibb; Silver — Gilead and Kite, Helsinn, Lilly; Track donors include Genentech/Roche, Johnson & Johnson, Merck & Co., AbbVie, AstraZeneca, BioNTech, Daiichi Sankyo, Lilly, Novartis. 2027 donor list not yet published.","McCormick Place, Chicago, Illinois, USA","SPARGO, Inc. is ASCO's official registration and housing provider. 2027 attendee hotel inventory/rates not yet published.",American Society of Clinical Oncology (ASCO),https://www.asco.org/annual-meeting/program/program-overview ; https://www.asco.org/annual-meeting/registration-hotels,OFFICIAL VERIFIED,Official ASCO pages checked. Sponsor names shown are explicitly identified as 2026 donors on 2027 pages; 2027 sponsor list is pending.
Asia-Oceania Conference on Neutron Scattering 2027,AOCNS 2027,Science,Neutron Scattering,2027-11-24,2027-11-28,Mumbai,India,In-person,Regional international conference on neutron-scattering science and facilities.,CFP details pending.,,Pricing pending.,"Scientific talks, facility/science sessions and posters.",To be announced.,AONSA scientific/program committee.,Sponsors pending.,"Mumbai, India",TBD,Asia-Oceania Neutron Scattering Association,https://uia.org/icco/search/%24freesearch%3DTorun?freesearch=&page=53,Discovery verified,Dates/city from UIA.
ASU+GSV Summit 2027,ASU+GSV 2027,Education & Business,EdTech / Innovation,,,San Diego,United States,In-person,Major education innovation and technology summit listed for April 2027.,Speaker/application model rather than conventional academic CFP.,,Pricing pending.,"Panels, keynotes, startup/innovation programming and networking.",To be announced.,Curated program.,Major EdTech and investment sponsors typically participate; 2027 list pending.,"San Diego, California",Hotel/travel details pending.,ASU + GSV,https://impactconvene.com/conferences/,Discovery index,Month/year and city listed; exact dates pending.
AVPN Global Conference 2027,AVPN 2027,Social Impact,Philanthropy / Impact Investing,,,,,In-person,Asia-focused social investment and philanthropy conference listed for April 2027.,Program participation details pending.,,Pricing pending.,"Impact-investing, philanthropy and social-finance sessions.",To be announced.,Curated by AVPN.,Sponsors pending.,TBD,TBD,AVPN,https://impactconvene.com/conferences/,Discovery index,Event listed for Apr 2027; city not captured.
AWS re:Invent 2026,AWS re:Invent,Technology,Cloud Computing & AI,2026-11-30,2026-12-04,Las Vegas,United States,In-person,"AWS flagship cloud and AI conference with 2,200+ sessions, 3,000+ speakers, workshops, architecture deep-dives, Expo and hands-on learning.",Content is curated through AWS speaker/session processes; no general academic CFP.,,"Full conference pass: US$2,499. Bulk purchase: 10% discount when purchasing 10 or more tickets in one transaction. Early-bird pricing ended 25 Aug 2026.","Mon 30 Nov: sessions across venues, self-paced learning 8:00 AM–5:30 PM, community spaces, Expo welcome reception 4:00–7:00 PM. Tue 1 Dec: badge pickup 6:30 AM–8:00 PM; Opening Keynote 8:30–10:30 AM; Expo 10:00 AM–6:00 PM. 2,200+ total sessions across five days.","Matt Garman — CEO, AWS — Opening Keynote on 1 Dec 2026. Additional 2026 keynote announcements are still pending on the official keynote page.","AWS event content is curated by AWS event, engineering and content teams; a public academic-style technical committee is not listed.",Emerald sponsors: Accenture; Anthropic; Capgemini; Datadog; Deloitte; IBM; MongoDB; NVIDIA; OpenAI. Expo includes 420+ sponsors and booths.,"Multi-venue Las Vegas campus including The Venetian, Caesars Forum, Caesars Palace, Encore, MGM Grand and Wynn.",Official re:Invent hotel inventory is managed through the AWS registration portal; specific rates vary by property and availability.,Amazon Web Services (AWS),https://aws.amazon.com/events/reinvent/ ; https://aws.amazon.com/events/reinvent/pricing/ ; https://aws.amazon.com/events/reinvent/agenda/,OFFICIAL VERIFIED,"Official AWS pricing, agenda, keynote and sponsor pages checked."
"BANGKOK 13th International Conference on Education, Humanities & Social Sciences",BEHS2-27,Education & Social Sciences,"Education, Humanities & Social Sciences",2027-03-22,2027-03-24,Bangkok,Thailand,In-person,"International conference focused on education, humanities & social sciences.",Call for papers / abstract submissions published.,2027-03-01,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Bangkok, Thailand",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference/BEHS2-27_9722,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
